days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
-10,GM-CSF,9,1,8,0.54,6.43025,-0.26760624,0.099244929,-0.26760624,-0.097453561,0,0.301189195,0.243304597,-3.573843516,0.957264957
-9,GM-CSF,13,4,9,0.8975,1.566666667,-0.138371114,0.081016669,-0.26760624,0.06069784,0.159383077,0.743277429,0.350538064,-0.803714412,0.876345159
-8,GM-CSF,22,9,13,0.807777778,2.426923077,-0.194480234,0.095283422,-0.26760624,0.089905111,0.00796893,0.615911103,0.455129533,-1.587098019,0.925782801
-7,GM-CSF,29,14,15,1.622285714,1.564133333,-0.043843539,0.043735602,-0.263621775,-0.167491087,0.394991833,0.527217535,0.200796584,0.052664428,0.579211666
-6,GM-CSF,26,10,16,1.1028,1.97825,-0.097405495,0.060136,-0.251881227,-0.18050592,0.214254136,0.743277429,0.365216409,-0.843053585,0.838642849
-5,GM-CSF,25,8,17,0.9425,0.897705882,-0.125103323,-0.128072098,-0.26760624,-0.207608311,0.403693101,0.181420093,0.616382887,0.07024977,0.846018577
-4,GM-CSF,31,12,19,0.865166667,1.384736842,-0.1738495,-0.039662886,-0.26760624,-0.107905397,0.011107555,0.280361577,0.394720264,-0.678561843,0.952255301
-3,GM-CSF,26,11,15,0.971818182,0.8568,-0.098020264,-0.145140176,-0.26760624,-0.26760624,0.306653315,0.231547945,0.766553894,0.181727944,0.918816851
-2,GM-CSF,40,16,24,0.74575,1.57,-0.205712071,-0.029002085,-0.26760624,-0.251093033,0.069444495,0.42032519,0.162674256,-1.074000581,0.610028459
-1,GM-CSF,32,15,17,0.786,0.933176471,-0.175829479,-0.118401991,-0.26760624,-0.258060922,0.181420093,0.308998925,0.398739715,-0.247620619,0.751095469
0,GM-CSF,41,17,24,1.319294118,1.43475,-0.069227091,-6.98E-04,-0.161150909,-0.12555728,0.216996247,0.490868822,0.680014642,-0.121033146,0.793709946
1,GM-CSF,34,15,19,1.388666667,1.122315789,-0.026240323,-0.068734808,-0.124938737,-0.148741651,0.331028961,0.280422996,0.929999268,0.30722167,1
2,GM-CSF,42,18,24,6.226166667,1.940916667,0.137302161,0.05574186,-0.015105731,-0.179262945,0.437086565,0.739992821,0.95923866,1.681606019,0.95923866
3,GM-CSF,34,16,18,5.344375,2.279166667,0.131286458,0.003482855,-0.007017461,-0.263621775,0.58434122,0.142667504,0.450410545,1.229514814,0.482582727
4,GM-CSF,40,18,22,2.671222222,1.501454545,0.102619954,-0.022972075,0.04788098,-0.262833581,0.603356272,0.486408628,0.425355431,0.831139201,0.455737962
5,GM-CSF,36,18,18,1.547777778,1.690666667,0.053608796,-0.137187528,-0.041799348,-0.26760624,0.640035627,0.005976697,0.035422519,-0.127393893,0.044889325
